token,timestamp,iterations,elapsedtime,averagetime
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24505,872
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24506,872.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24506,872.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24506,872.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24505,872.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24506,872.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24506,872.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24506,872.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,873
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24506,872.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24506,873.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,873.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,874
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,874.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,874.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,875.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,875.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,875.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24508,875.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,875.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,876
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24507,876
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24508,876.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24508,876.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24508,876.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24508,876.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24508,876.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24508,876.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24508,876.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24509,877
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24509,877
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24509,877.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24510,877.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24509,877.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24509,877.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24510,877.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24510,877.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24510,878.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24511,878.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24511,878.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24511,878.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24510,878.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24511,878.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24511,878.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24511,878.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24512,879
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24500,866.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24512,879.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24512,879.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24512,879.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24512,879.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24512,879.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24513,880
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24513,880.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24513,880.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24514,880.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24513,880.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24513,880.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24514,880.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24514,880.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24514,880.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24514,880.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24515,881
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24515,881
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24512,879.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24514,881
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24515,881
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24515,881.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24515,881.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24516,881.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24516,881.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24515,881.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24515,881.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24516,881.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24516,881.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24516,881.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24518,882
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24517,882
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24516,881.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24518,882.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24518,882.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24518,882.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,882.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,882.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24518,882.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,882.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,883
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,883
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,883.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,883.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,883.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,883.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24519,883.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,883.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,883.5
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),7,24499,817.2857142857143
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,883.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24521,883.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,883.6666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24520,883.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24521,883.8333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24521,884
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24521,884.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24521,884.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24522,884.3333333333334
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24521,884.1666666666666
LEOTIMING,Wed Feb 13 2019 10:50:16 GMT+0800 (HKT),6,24521,884.3333333333334
